stage,case_label,detector,seq,side,time_sec,source,rel_height_m,foot_vz_mps,hip_pitch_rad
real,25/0.4 all_ankles,old,0,left,1777514424.508744,contact_refined,0.04935670376601514,0.808365573562424,0.503441
real,25/0.4 all_ankles,old,1,left,1777514424.8189623,contact_refined,-0.0903394726344075,-0.012766709276028378,0.306705
real,25/0.4 all_ankles,old,2,left,1777514424.8189623,contact_refined,-0.0903394726344075,-0.012766709276028378,0.306705
real,25/0.4 all_ankles,old,3,right,1777514425.0788383,contact_refined,-0.03756625510580497,-0.10261422984896128,-0.415427
real,25/0.4 all_ankles,old,4,left,1777514425.1488893,contact_refined,0.06033738388122378,0.5331964420803705,0.658567
real,25/0.4 all_ankles,old,5,right,1777514425.1488893,contact_refined,-0.06033738388122378,-0.04789036830319594,-0.40584
real,25/0.4 all_ankles,old,6,right,1777514425.1488893,contact_refined,-0.06033738388122378,-0.04789036830319594,-0.40584
real,25/0.4 all_ankles,old,7,right,1777514425.6788278,contact_refined,0.03518407147526725,-0.9659759515697389,-0.537764
real,25/0.4 all_ankles,new,0,left,1777514424.748999,kinematic_fk_hip,-0.023042443846128635,-0.0016410932001683757,0.431535
real,25/0.4 all_ankles,new,1,right,1777514425.0488515,kinematic_fk_hip,-0.03035210756752832,0.0498207052704169,-0.469309
real,25/0.4 all_ankles,new,2,left,1777514425.3588588,kinematic_fk_hip,0.02031708744476124,0.020711756510117463,0.592988
real,25/0.4 all_ankles,new,3,right,1777514425.7388427,kinematic_fk_hip,-0.009833216626720043,-0.019426597228763557,-0.487334
real,25/0.4 all_ankles,new,4,left,1777514426.0589106,kinematic_fk_hip,0.015867260697765395,-0.02891658693726201,0.519165
real,25/0.4 all_ankles,new,5,right,1777514426.4687335,kinematic_fk_hip,-0.01102025836430659,-0.0350551354289564,-0.430001
real,25/0.4 all_ankles,new,6,left,1777514426.7389097,kinematic_fk_hip,0.010042399675549929,0.017711546470078325,0.566144
real,25/0.4 all_ankles,new,7,right,1777514427.1389344,kinematic_fk_hip,0.008791615608128411,-0.04819091075385208,-0.568444
real,30/0.4 all_ankles,old,0,left,1777514594.7078645,contact_refined,0.07680460294718139,-0.5204813443684816,0.602767
real,30/0.4 all_ankles,old,1,left,1777514594.8976555,contact_refined,-0.07241027469150418,-0.03181310051744787,0.334701
