stage,window,axis,events,mean_output_hp_rms_rad,mean_joint_hp_rms_rad,mean_output_range_rad,mean_joint_range_rad,mean_output_path_length_rad,mean_joint_path_length_rad,mean_output_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_output_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_output_flip_rate,mean_joint_flip_rate,mean_tracking_err_rms_rad,mean_joint_to_output_hp_rms_ratio
real,swing,pitch,32,0.04557357369852563,0.009468875546452402,0.45035871093749985,0.239726259375,1.0766726609375001,0.39560555625,22.227491793570763,8.347284623840993,8.246543110527991,3.33023488717364,0.34073713938777966,0.10217053695786102,0.2320820292720797,0.2941531429202614
real,swing,roll,32,0.0349238321170074,0.010504033262976204,0.4306597428125001,0.236377481875,1.0686558414624996,0.4924175655625,31.99839899497814,14.136033124066412,3.812463139857699,3.8124575675619106,0.3373422806221402,0.15617345676830172,0.19864327370633206,0.42524933025781964
real,touchdown,pitch,32,0.06110139210044558,0.010616739745811347,0.33101479375,0.22673927187499998,0.8033350268749999,0.25870095624999995,31.0238660436171,8.560505272227946,12.591787084347708,6.736158167773267,0.4362459589022089,0.10112014721389724,0.26298976942316116,0.20571685033065806
real,touchdown,roll,32,0.05649403084205357,0.013484330316491754,0.36446538062500006,0.21148927825,0.8517000921875,0.296567999934375,40.56654869011079,15.210361459535422,10.173521437766052,7.166297753541041,0.4447375541125542,0.17201028138528138,0.21359141061980683,0.34022288082121693
sim,swing,pitch,32,0.03147818960130363,0.007376029827038065,0.48775236875,0.16759221875,0.7913930687499999,0.2638000625,12.058110773958937,7.728102677289312,3.511579658702127,3.043548150885268,0.1691060350585691,0.08407075511557921,0.2023743090460635,0.4639758587909935
sim,swing,roll,32,0.02037731089241487,0.0032662130530341817,0.31005822296875,0.0803604798625,0.54555526496875,0.12630426254375002,22.96279541545951,12.00390340414907,5.3345137656067125,3.5230345760329453,0.2525366753445695,0.15317901058234518,0.12520328236773634,0.18343859847895186
sim,touchdown,pitch,32,0.04242619381795846,0.014404327579115321,0.3641231134374999,0.13444459687500002,0.5239563446875,0.21051996874999998,20.819641050709947,15.055101762766189,12.043417455144906,7.617123133638007,0.25431478243978245,0.16624261155511158,0.2261763754474949,0.3497033482588595
sim,touchdown,roll,32,0.029409435322715678,0.007648410505711228,0.26075551656249996,0.10159079784375004,0.3965274054374999,0.13149686949999997,28.99822765188156,19.03376138218319,9.049735260971024,7.632007660360209,0.32141400266400266,0.2393962808025308,0.1462689348173641,0.4411817970493302
