stage,case_label,diag_csv,old_first4_sides,old_first4_left_count,old_first4_right_count,old_first4_adjacent_mean_sec,old_first4_adjacent_std_sec,old_first4_same_side_mean_sec,old_first4_same_side_std_sec,old_all_event_count,new_first4_sides,new_first4_left_count,new_first4_right_count,new_first4_adjacent_mean_sec,new_first4_adjacent_std_sec,new_first4_same_side_mean_sec,new_first4_same_side_std_sec,new_all_event_count
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left-left-left-right,3,1,0.19003144900004068,0.1664858884040106,0.15510916709899902,0.21935748775979907,23,left-right-left-right,2,2,0.32994786898295086,0.043628938382937764,0.6499254703521729,0.05666154878846976,21
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,left-left-left-left,4,0,0.0632636547088623,0.10957586422824356,0.0632636547088623,0.10957586422824356,23,left-right-left-right,2,2,0.33997321128845215,0.05192637992640269,0.6949235200881958,0.06361459868100897,19
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,right-left-left-right,2,2,0.12658540407816568,0.12665047207900249,0.20480084419250488,0.24742425429496173,8,left-right-left-right,2,2,0.3299187819163005,0.05286762856093587,0.6499019861221313,0.0706942577064749,7
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,left-left-left-right,3,1,0.3300503094991048,0.4359225714583446,0.48004698753356934,0.49503833799561653,18,left-right-left-right,2,2,0.33669495582580566,0.025270946697685783,0.6600097417831421,0.01425018665632136,10
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left-left-left-right,3,1,0.4466691811879476,0.2193913789168272,0.5100007057189941,0.2687003205980491,124,left-left-right-left,3,1,0.46001656850179035,0.1997374028539421,0.6900248527526855,3.540335274915099e-05,40
sim,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left-left-right-left,3,1,0.23999826113382974,0.14799382851911858,0.35999739170074463,0.028288458958329942,99,left-right-left-right,2,2,0.3233370780944824,0.03214539830315632,0.6650068759918213,0.007079659025465936,42
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left-right-right-left,2,2,0.24332674344380698,0.09811565917625445,0.5149811506271362,0.30405461441553344,105,left-right-left-right,2,2,0.3299989700317383,0.040028815408834864,0.6800180673599243,0.028280366763415853,50
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,left-left-right-left,3,1,0.23672310511271158,0.16156473153365142,0.3550846576690674,0.03547854272689442,102,left-right-left-right,2,2,0.31999413172403973,0.04582038081608669,0.65998375415802,0.042427546521976583,52
