stage,case_label,side,axis,window,events,mean_output_hp_rms_rad,mean_joint_hp_rms_rad,mean_output_range_rad,mean_joint_range_rad,mean_output_path_length_rad,mean_joint_path_length_rad,mean_output_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_output_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_output_flip_rate,mean_joint_flip_rate,mean_tracking_err_rms_rad,mean_joint_to_output_hp_rms_ratio
real,25/0.4 all_ankles,left,pitch,swing,4,0.06090945870503357,0.01070603441493006,0.515106,0.272729875,1.2530324,0.45144305,30.773104324948335,4.738201157322102,6.865962025197566,3.054169314656848,0.4345238095238095,0.052091609725091366,0.2351002330905561,0.2585612360021582
real,25/0.4 all_ankles,left,pitch,touchdown,4,0.06787487354522023,0.011100564702116539,0.38593289999999997,0.22098057499999998,0.894290775,0.2576464,42.447723999053935,7.418048854203599,8.691022669924958,6.905196093912981,0.47581585081585087,0.08012820512820512,0.25589821843984417,0.19854487623377773
real,25/0.4 all_ankles,left,roll,swing,4,0.03107624014434837,0.007090168973038869,0.46583467500000003,0.2359754,0.9490175725,0.411528565,29.235709268583182,12.551192427374504,4.616767568667329,3.054169314656848,0.3131144393241168,0.13216205837173578,0.2801857466903786,0.2100194374181442
real,25/0.4 all_ankles,left,roll,touchdown,4,0.04557717702587862,0.01263581291276531,0.324936675,0.2308252,0.6106391775000001,0.292633475,44.37092185014375,7.555420129281444,12.262675821948914,6.905196093912981,0.5,0.09006410256410256,0.3132193114732084,0.3305018757139901
real,25/0.4 all_ankles,right,pitch,swing,4,0.05977980918575469,0.007447581919511885,0.6467835,0.1688305,1.3870956999999997,0.24496354999999997,20.490199685653558,13.357694752025076,3.8117927105407174,3.054169314656848,0.3427840909090909,0.1722992670331501,0.19768771441310956,0.11943308702042946
real,25/0.4 all_ankles,right,pitch,touchdown,4,0.06486446438525592,0.011685468688627073,0.3535465,0.20188615,0.93864695,0.21974330000000003,25.276314614323375,12.912899857317377,15.596218763837939,6.905196093912981,0.3107517482517482,0.17323232323232324,0.24773813462526476,0.09160089994375196
real,25/0.4 all_ankles,right,roll,swing,4,0.046484903285570985,0.00886357654451149,0.40861116750000004,0.11525753000000001,1.125775985,0.26591774749999997,36.24219821398501,16.583704050627357,3.8117927105407174,3.8117927105407174,0.3872543566926214,0.1870026525198939,0.1637094060296237,0.19885168360199512
real,25/0.4 all_ankles,right,roll,touchdown,4,0.06962495615991016,0.00971836508346527,0.4416928,0.106307666,1.0711416599999999,0.14975695699999997,38.87607084702997,27.74899756572458,6.905196093912981,8.571967564857493,0.44507575757575757,0.3121794871794872,0.15636389791627797,0.1501326922418348
real,30/0.4 all_ankles,left,pitch,swing,4,0.0574481961931848,0.011271398214726372,0.49129649999999997,0.23192335000000003,1.20170735,0.45079277500000003,25.170377768031553,5.497189731606625,7.467383681472928,3.055471801035361,0.3682142857142857,0.061129032258064514,0.2184318625556954,0.21864173024799421
real,30/0.4 all_ankles,left,pitch,touchdown,4,0.07340108179097883,0.013855396605360757,0.35821725000000004,0.23444365,1.0112149,0.26237452499999997,32.96813273294006,5.494688788823344,8.452662920139913,6.785940654196832,0.3557692307692308,0.06118881118881119,0.2620898244829355,0.2912374508749356
real,30/0.4 all_ankles,left,roll,swing,4,0.03860308170262733,0.011281874568706034,0.47140347499999996,0.304659525,1.1006587475000003,0.5921705799999999,29.76027916938691,11.848208043365542,3.055471801035361,3.055471801035361,0.314340007415647,0.12482040229885058,0.27121712021934646,0.44108883832906826
real,30/0.4 all_ankles,left,roll,touchdown,4,0.04087473704991246,0.017702447189784393,0.3218658725,0.251767385,0.6520621775,0.37286482,44.09487753030734,12.637784214293692,10.357488366932007,6.785940654196832,0.47596153846153844,0.13782051282051283,0.32874023471298364,0.4914626034702464
real,30/0.4 all_ankles,right,pitch,swing,4,0.02437826596001402,0.005039953137993125,0.279384425,0.17288320000000001,0.8110606,0.285819675,13.609324953769109,7.867747793138572,15.601846211029693,3.055471801035361,0.18662464985994395,0.10444139194139193,0.23007881160731913,0.12392236678280806
real,30/0.4 all_ankles,right,pitch,touchdown,4,0.07349353001619588,0.00812135781651419,0.32554047499999994,0.18294785000000002,0.823993215,0.21200964999999997,24.176630670822718,7.143095425470348,11.786107452026076,6.785940654196832,0.4326923076923077,0.08012820512820512,0.2315038895752612,0.11544302005409882
real,30/0.4 all_ankles,right,roll,swing,4,0.04045423291990607,0.004391009205761192,0.46731159999999994,0.12152755,1.27510871,0.252846362,27.463801047277833,18.79110215979175,3.055471801035361,3.055471801035361,0.28640850945494994,0.20699233716475093,0.16030707641817493,0.1788210324657039
real,30/0.4 all_ankles,right,roll,touchdown,4,0.09518320710333848,0.007761092652072053,0.4704300975,0.123261975,1.3628407475,0.1579988825,41.897002014778,16.62143358619062,10.357488366932007,6.785940654196832,0.451923076923077,0.1794871794871795,0.1960056680669739,0.10270998482601146
real,35/0.5 all_ankles,left,pitch,swing,4,0.06242824957591897,0.008553558114764005,0.45862175,0.31228802499999997,1.1127259999999999,0.49861902499999994,24.499844544938085,6.9871907026695315,5.3046008948616405,3.7671161513785085,0.4815772669220945,0.08224137931034484,0.23335496438859743,0.14578295774669964
real,35/0.5 all_ankles,left,pitch,touchdown,4,0.03538378063227095,0.012593529999785543,0.27654524999999996,0.22936535,0.5528190999999999,0.299984975,35.56895904028498,8.947186658691665,19.80721222560669,6.681771817653946,0.44471153846153844,0.09958791208791208,0.26817286559381753,0.2893442368039278
real,35/0.5 all_ankles,left,roll,swing,4,0.025562279549741086,0.013927459236774208,0.46725757500000004,0.40240519999999996,0.9604897750000001,0.85817863,32.827347815449464,11.6511729544132,3.03179736101701,3.7893985389652203,0.34440408324063776,0.12208008898776418,0.2065271051043177,0.6717819012241953
real,35/0.5 all_ankles,left,roll,touchdown,4,0.04576658488187359,0.018031229660404144,0.33030265000000003,0.32981914999999995,0.6953487,0.40159806749999993,34.27770692270512,12.793469562121041,13.363543635307892,6.681771817653946,0.3695054945054945,0.13804945054945056,0.20837951959042236,0.4966714540261338
real,35/0.5 all_ankles,right,pitch,swing,4,0.03295280293514449,0.020831748962248004,0.37306095,0.39567332499999996,1.1006562999999998,0.5900053249999999,23.177861037853056,6.251737139802469,10.773534398175284,4.54699971691343,0.30486531986531984,0.08872504307286916,0.3072093988383769,1.1415441457477746
