stage,case_label,diag_csv,event_seq,side,touchdown_time_sec,touchdown_source,first_contact_time_sec,stable_minus_first_contact_sec
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,36,left,1778046126.5119665,kinematic_fk_hip,1778046126.5119665,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,37,right,1778046126.8619723,kinematic_fk_hip,1778046126.851971,0.010001420974731445
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,38,left,1778046127.211973,kinematic_fk_hip,1778046127.211973,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,39,right,1778046127.5520012,kinematic_fk_hip,1778046127.5520012,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,40,left,1778046127.9120073,kinematic_fk_hip,1778046127.9120073,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,41,right,1778046128.252033,kinematic_fk_hip,1778046128.252033,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,42,left,1778046128.611973,kinematic_fk_hip,1778046128.611973,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,43,right,1778046128.96199,kinematic_fk_hip,1778046128.9519904,0.009999752044677734
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,44,left,1778046129.3119743,kinematic_fk_hip,1778046129.3119743,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,45,right,1778046129.6519914,kinematic_fk_hip,1778046129.6519914,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,46,left,1778046130.0119743,kinematic_fk_hip,1778046130.0119743,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,47,right,1778046130.3519762,kinematic_fk_hip,1778046130.3519762,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,48,left,1778046130.7119997,kinematic_fk_hip,1778046130.7119997,0.0
sim,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,49,right,1778046131.051981,kinematic_fk_hip,1778046131.051981,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,0,left,1778046258.137412,kinematic_fk_hip,1778046258.137412,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,1,right,1778046258.4674115,kinematic_fk_hip,1778046258.4674115,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,2,left,1778046258.8273966,kinematic_fk_hip,1778046258.8074,0.01999664306640625
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,3,right,1778046259.0973945,kinematic_fk_hip,1778046259.0973945,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,4,left,1778046259.5074148,kinematic_fk_hip,1778046259.4974535,0.009961366653442383
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,5,right,1778046259.8173885,kinematic_fk_hip,1778046259.8173885,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,6,left,1778046260.2473967,kinematic_fk_hip,1778046260.2274022,0.019994497299194336
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,7,right,1778046260.5874164,kinematic_fk_hip,1778046260.56739,0.020026445388793945
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,8,left,1778046260.917509,kinematic_fk_hip,1778046260.917509,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,9,right,1778046261.2475057,kinematic_fk_hip,1778046261.2475057,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,10,left,1778046261.6074991,kinematic_fk_hip,1778046261.6074991,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,11,right,1778046261.9674013,kinematic_fk_hip,1778046261.95739,0.01001119613647461
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,12,left,1778046262.3173974,kinematic_fk_hip,1778046262.3173974,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,13,right,1778046262.6673934,kinematic_fk_hip,1778046262.6573992,0.009994268417358398
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,14,left,1778046263.017405,kinematic_fk_hip,1778046263.017405,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,15,right,1778046263.3674076,kinematic_fk_hip,1778046263.3573961,0.010011434555053711
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,16,left,1778046263.717396,kinematic_fk_hip,1778046263.717396,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,17,right,1778046264.0573978,kinematic_fk_hip,1778046264.0573978,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,18,left,1778046264.4373937,kinematic_fk_hip,1778046264.4174132,0.019980430603027344
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,19,right,1778046264.7573938,kinematic_fk_hip,1778046264.7573938,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,20,left,1778046265.1374085,kinematic_fk_hip,1778046265.1173997,0.02000880241394043
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,21,right,1778046265.467398,kinematic_fk_hip,1778046265.4574006,0.009997367858886719
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,22,left,1778046265.8174071,kinematic_fk_hip,1778046265.8174071,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,23,right,1778046266.1673858,kinematic_fk_hip,1778046266.157385,0.01000070571899414
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,24,left,1778046266.517396,kinematic_fk_hip,1778046266.517396,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,25,right,1778046266.8674202,kinematic_fk_hip,1778046266.8573937,0.01002645492553711
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,26,left,1778046267.2173934,kinematic_fk_hip,1778046267.2173934,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,27,right,1778046267.5673838,kinematic_fk_hip,1778046267.557398,0.009985685348510742
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,28,left,1778046267.9373887,kinematic_fk_hip,1778046267.917394,0.019994735717773438
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,29,right,1778046268.2573922,kinematic_fk_hip,1778046268.2573922,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,30,left,1778046268.6173966,kinematic_fk_hip,1778046268.6173966,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,31,right,1778046268.9673913,kinematic_fk_hip,1778046268.957489,0.009902238845825195
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,32,left,1778046269.3174112,kinematic_fk_hip,1778046269.3174112,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,33,right,1778046269.6673958,kinematic_fk_hip,1778046269.6573935,0.010002374649047852
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,34,left,1778046270.0173903,kinematic_fk_hip,1778046270.0173903,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,35,right,1778046270.3573964,kinematic_fk_hip,1778046270.3573964,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,36,left,1778046270.7173889,kinematic_fk_hip,1778046270.7173889,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,37,right,1778046271.0673923,kinematic_fk_hip,1778046271.0573947,0.00999760627746582
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,38,left,1778046271.4173875,kinematic_fk_hip,1778046271.4173875,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,39,right,1778046271.7673936,kinematic_fk_hip,1778046271.7573917,0.010001897811889648
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,40,left,1778046272.1174114,kinematic_fk_hip,1778046272.1174114,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,41,right,1778046272.4673986,kinematic_fk_hip,1778046272.4573963,0.010002374649047852
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,42,left,1778046272.8373878,kinematic_fk_hip,1778046272.8173985,0.0199892520904541
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,43,right,1778046273.1574101,kinematic_fk_hip,1778046273.1574101,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,44,left,1778046273.537434,kinematic_fk_hip,1778046273.5174074,0.020026683807373047
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,45,right,1778046273.8575494,kinematic_fk_hip,1778046273.8575494,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,46,left,1778046274.2175705,kinematic_fk_hip,1778046274.2175705,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,47,right,1778046274.5674028,kinematic_fk_hip,1778046274.5573978,0.010004997253417969
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,48,left,1778046274.917404,kinematic_fk_hip,1778046274.917404,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,49,right,1778046275.267404,kinematic_fk_hip,1778046275.2574146,0.009989500045776367
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,50,left,1778046275.617396,kinematic_fk_hip,1778046275.617396,0.0
sim,50/0.8,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,51,right,1778046275.9673927,kinematic_fk_hip,1778046275.9574084,0.009984254837036133
