stage,case_label,diag_csv,event_seq,side,touchdown_time_sec,touchdown_source,first_contact_time_sec,stable_minus_first_contact_sec
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,0,left,1777514825.8477206,kinematic_fk_hip,1777514825.8477206,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,1,right,1777514826.1375866,kinematic_fk_hip,1777514826.1375866,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,2,left,1777514826.4476342,kinematic_fk_hip,1777514826.4476342,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,3,right,1777514826.837477,kinematic_fk_hip,1777514826.837477,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,4,left,1777514827.1576958,kinematic_fk_hip,1777514827.1576958,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,5,right,1777514827.4676,kinematic_fk_hip,1777514827.4676,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,6,left,1777514827.7476778,kinematic_fk_hip,1777514827.7476778,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,0,left,1777515244.4189363,kinematic_fk_hip,1777515244.4189363,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,1,right,1777515244.758935,kinematic_fk_hip,1777515244.758935,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,2,left,1777515245.0688696,kinematic_fk_hip,1777515245.0688696,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,3,right,1777515245.4290211,kinematic_fk_hip,1777515245.4290211,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,4,left,1777515245.7589765,kinematic_fk_hip,1777515245.7589765,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,5,right,1777515246.1590714,kinematic_fk_hip,1777515246.1590714,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,6,left,1777515246.4387767,kinematic_fk_hip,1777515246.4387767,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,7,right,1777515246.8988492,kinematic_fk_hip,1777515246.8988492,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,8,left,1777515247.138853,kinematic_fk_hip,1777515247.138853,0.0
real,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,9,right,1777515247.5087569,kinematic_fk_hip,1777515247.5087569,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,0,left,1778045945.938313,kinematic_fk_hip,1778045945.938313,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,1,left,1778045946.6283128,kinematic_fk_hip,1778045946.6283128,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,2,right,1778045946.9583108,kinematic_fk_hip,1778045946.9583108,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,3,left,1778045947.3183627,kinematic_fk_hip,1778045947.2983081,0.02005457878112793
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,4,right,1778045947.608308,kinematic_fk_hip,1778045947.608308,0.0
sim,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,5,left,1778045947.9683042,kinematic_fk_hip,1778045947.9683042,0.0
