joint,rms_error_rad,max_abs_error_rad,target_range_rad,pos_range_rad,range_ratio_pos_over_target,target_mean_rad,pos_mean_rad,error_mean_rad,error_std_rad,zero_lag_corr,vel_abs_p95_rad_s,best_delay_ms,best_delay_corr
left_hip_pitch_joint,0.639687641784313,1.340533,2.78223,0.633544,0.22771086502553706,0.3254199743118509,0.24281525387693847,0.08260472043491243,0.6343317264755449,0.057126887168032006,1.70313,139.9961002595649,0.14800760300870353
left_hip_roll_joint,0.582619073496858,1.642758,1.7,0.438725,0.2580735294117647,-0.30129539857653825,0.12687321661855927,-0.4281686151950975,0.39511595989563586,-0.2989935489071386,0.862308,119.99665736534135,-0.16610942609608004
left_hip_yaw_joint,0.39651563749364777,1.207446,2.260003,0.53786,0.23799083452544087,-0.3098301873753877,-0.06219992453584292,-0.24763026283954476,0.30968355413714155,-0.1751296218241022,2.42735,59.998328682670675,0.02538884440304653
left_knee_pitch_joint,0.46509701233520584,1.2633079999999999,1.78439,0.756839,0.42414438547626926,0.6472195856123062,0.5279761175587795,0.11924346805352673,0.44955113859237655,-0.06915514450037519,3.05337,139.9961002595649,0.2126159661345615
left_ankle_pitch_joint,0.41133978146463696,0.7397199999999999,0.76,0.44740388,0.5886893157894737,-0.04051510638569285,-0.2506908093811906,0.21017570299549773,0.3535909920879258,-0.16889980818955022,1.89102,69.99805012978246,-0.11064451228523789
left_ankle_roll_joint,0.3189705675998661,0.760269,1.28,0.593595,0.46374609375,-0.06521247833041521,0.018585616350050026,-0.08379809468046523,0.3077663112215249,0.44929085458084045,3.94101,59.998328682670675,0.5271346073945561
right_hip_pitch_joint,0.5866953049712434,1.2855219999999998,2.274739,0.7957658,0.3498272988681339,-0.17397612055952977,-0.4572289576238119,0.28325283706428217,0.5137890726459017,-0.12030620287685818,2.48872,139.9961002595649,0.08908060976273206
right_hip_roll_joint,0.8732051334298653,1.627226,1.7,0.407661,0.23980058823529413,0.47795643741995997,-0.044921211342246116,0.5228776487622061,0.6993469592935797,-0.019498666543159425,0.911407,79.99777157689424,0.031452871284240874
right_hip_yaw_joint,0.3469715014924747,1.206012,2.203058,1.161817,0.5273655981821632,0.27571868617626566,0.09858556038494247,0.17713312579132315,0.29835059677389225,0.2070677820859965,4.34223,69.99805012978246,0.43934482813991677
right_knee_pitch_joint,0.5433951966867865,1.22174,1.45649,1.2718770000000001,0.873248014061202,0.6120669031895948,0.31296960919459726,0.2990972939949975,0.45367295324621393,-0.40972052050787394,4.4036,149.99582170667668,-0.010888551849128753
right_ankle_pitch_joint,0.3027063930810206,0.812458,0.76,0.77904,1.0250526315789472,-0.04670994929302151,-0.0072068409394697355,-0.03950310835355178,0.3001177516284715,0.09872883426160446,2.25843,-139.9961002595649,0.11838825482137752
right_ankle_roll_joint,0.291520610482397,0.9360900000000001,1.28,0.9082779999999999,0.7095921875,-0.2418796558778064,-0.14281392264532267,-0.09906573323248373,0.2741719293347512,0.24396157914182678,4.17844,69.99805012978246,0.35501932856141966
