joint,sim_rms_error_rad,real_rms_error_rad,real_minus_sim_rms_error_rad,real_over_sim_rms_error,sim_target_range_rad,real_target_range_rad,real_over_sim_target_range,sim_pos_range_rad,real_pos_range_rad,sim_pos_over_target,real_pos_over_target,sim_target_mean_rad,real_target_mean_rad,sim_pos_mean_rad,real_pos_mean_rad,sim_error_mean_rad,real_error_mean_rad,sim_error_std_rad,real_error_std_rad,sim_zero_lag_corr,real_zero_lag_corr,sim_delay_ms,real_delay_ms,sim_corr,real_corr,corr_drop_real_minus_sim,sim_vel_p95_rad_s,real_vel_p95_rad_s
left_ankle_pitch_joint,0.1641725884264853,0.41133978146463696,0.24716719303815166,2.505532655646898,0.76,0.76,1.0,0.62107,0.44740388,0.8171973684210526,0.5886893157894737,-0.3267932853276638,-0.04051510638569285,-0.3138360996128064,-0.2506908093811906,-0.012957185714857428,0.21017570299549773,0.1636604721030794,0.3535909920879258,0.26354114455486055,-0.16889980818955022,59.99826807051763,69.99805012978246,0.3489442502641221,-0.11064451228523789,-0.45958876254936,1.7024,1.89102
left_ankle_roll_joint,0.2274448184265024,0.3189705675998661,0.09152574917336367,1.4024085921435916,1.1805219999999998,1.28,1.0842661127873943,0.662345,0.593595,0.5610611238079426,0.46374609375,0.27753867321585796,-0.06521247833041521,0.1899812371192096,0.018585616350050026,0.08755743609664833,-0.08379809468046523,0.2099162709587944,0.3077663112215249,0.3917635051721379,0.44929085458084045,59.99826807051763,59.998328682670675,0.4738146757965681,0.5271346073945561,0.05331993159798798,3.16395,3.94101
left_hip_pitch_joint,0.7169242551994105,0.639687641784313,-0.07723661341509747,0.8922667034139969,2.621703,2.78223,1.0612300477971761,0.535559,0.633544,0.2042790506781279,0.22771086502553706,0.8011621371570785,0.3254199743118509,0.38146590070035014,0.24281525387693847,0.4196962364567283,0.08260472043491243,0.5812361454669587,0.6343317264755449,0.16642345068925762,0.057126887168032006,139.9959588312078,139.9961002595649,0.3363391325192194,0.14800760300870353,-0.18833152951051585,1.65403,1.70313
left_hip_roll_joint,0.5721717850634498,0.582619073496858,0.010447288433408253,1.0182590066587254,1.7,1.7,1.0,0.24313970000000001,0.438725,0.1430233529411765,0.2580735294117647,-0.2779389272817659,-0.30129539857653825,0.05960454771803401,0.12687321661855927,-0.33754347499979986,-0.4281686151950975,0.4620010325829955,0.39511595989563586,-0.055499239459709894,-0.2989935489071386,99.99711345086273,119.99665736534135,0.19705339440421574,-0.16610942609608004,-0.3631628205002958,0.788659,0.862308
left_hip_yaw_joint,0.4160618943796663,0.39651563749364777,-0.01954625688601852,0.9530207953430552,2.56514,2.260003,0.8810446993146573,0.517343,0.53786,0.2016821693942631,0.23799083452544087,-0.4829034575087544,-0.3098301873753877,-0.17537761326430715,-0.06219992453584292,-0.30752584424444723,-0.24763026283954476,0.28024160125958564,0.30968355413714155,0.29400036453795625,-0.1751296218241022,59.99826807051763,59.998328682670675,0.4721769769203569,0.02538884440304653,-0.44678813251731037,1.53129,2.42735
left_knee_pitch_joint,0.400681649035114,0.46509701233520584,0.06441536330009184,1.1607644459266133,1.10587,1.78439,1.6135621727689513,0.9856018000000001,0.756839,0.8912456256160309,0.42414438547626926,0.34309744194007,0.6472195856123062,0.5343949076288145,0.5279761175587795,-0.1912974656887444,0.11924346805352673,0.3520668452077843,0.44955113859237655,0.03323426031543661,-0.06915514450037519,139.9959588312078,139.9961002595649,0.33580362913271555,0.2126159661345615,-0.12318766299815406,2.61761,3.05337
right_ankle_pitch_joint,0.3104202419719401,0.3027063930810206,-0.007713848890919528,0.9751503032085878,0.76,0.76,1.0,0.879467,0.77904,1.1571934210526316,1.0250526315789472,-0.2380211220969735,-0.04670994929302151,-0.09036645740570286,-0.0072068409394697355,-0.14765466469127064,-0.03950310835355178,0.27305462204626074,0.3001177516284715,-0.3819694764511248,0.09872883426160446,-129.99624748612155,-139.9961002595649,-0.31330348278027925,0.11838825482137752,0.4316917376016568,2.18646,2.25843
right_ankle_roll_joint,0.321930682059945,0.291520610482397,-0.030410071577547992,0.9055384488891758,1.28,1.28,1.0,0.566182,0.9082779999999999,0.44232968749999996,0.7095921875,0.0906232950827914,-0.2418796558778064,-0.08641434472286143,-0.14281392264532267,0.17703763980565282,-0.09906573323248373,0.2688810855073769,0.2741719293347512,0.14648224365768084,0.24396157914182678,59.99826807051763,69.99805012978246,0.23774319066525484,0.35501932856141966,0.11727613789616481,3.72431,4.17844
right_hip_pitch_joint,0.6221572428788082,0.5866953049712434,-0.0354619379075648,0.9430016473914578,2.865344,2.274739,0.79387989714324,0.962013,0.7957658,0.33574083949431555,0.3498272988681339,-0.7332767809862432,-0.17397612055952977,-0.32562342600250127,-0.4572289576238119,-0.40765335498374183,0.28325283706428217,0.46999827344050926,0.5137890726459017,-0.2856583315988012,-0.12030620287685818,139.9959588312078,139.9961002595649,0.01903909671521287,0.08908060976273206,0.0700415130475192,2.43349,2.48872
right_hip_roll_joint,0.39735585300517756,0.8732051334298653,0.4758492804246877,2.197539376420076,1.7,1.7,1.0,0.279381,0.407661,0.16434176470588235,0.23980058823529413,0.1898621968202351,0.47795643741995997,-0.04152415908311655,-0.044921211342246116,0.2313863559033517,0.5228776487622061,0.3230356454313359,0.6993469592935797,0.11363699849914398,-0.019498666543159425,79.99769076069018,79.99777157689424,0.25291740911623495,0.031452871284240874,-0.22146453783199407,0.782521,0.911407
