side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_large_foot_frame_residual_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,foot_flat_error_touch_raw_rad,sole_pitch_touch_raw_rad,sole_roll_touch_raw_rad,sole_pitch_bias_rad,sole_roll_bias_rad,sole_bias_sample_count,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m
left,1777280412.4538558,46,1777280412.4538558,46,contact_refined,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|tracking_lag,1,1,1,0,1,0,0.02641785232777355,0.0693899061133556,0.662644377518272,0.4188472773261823,0.1502926877347669,0.3909541529860192,1.9375929730886274,-0.16006746868750715,1.9309699466409105,-0.31036015642227405,1.5400157936548913,1333,0.158879,-0.37843899999999997,0.05137900000000001,-0.07166015,0.08989691734313965,0.4,0.0,0.0,0.016677717668812153,0.08757186101323328
right,1777280413.0238233,103,1777280413.0838675,109,contact_refined,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.13715722010282794,-0.03165488690434093,0.24841020012460316,0.2500089130984008,0.24990458033405502,0.007222005033475698,1.58472382048219,-0.07753645970653009,-1.5828258541671116,-0.3274410400405851,-1.5900478592005873,1333,0.15915400000000002,0.156581,-0.4602695,-0.1846271,0.299990177154541,0.4,0.0,0.0,-0.02308883474832546,-0.04422655825234173
right,1777280413.743807,175,1777280413.8138354,182,contact_refined,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.06970433147196425,-0.09849180430938614,0.29120860022308603,0.22875932624314113,0.22475097915202677,-0.0426359790953732,1.6359100722344508,-0.10269006088855834,-1.6326838382959605,-0.3274410400405851,-1.5900478592005873,1333,0.549366,0.09180499999999997,-0.1408866,-0.5259461,0.2999417781829834,0.4,0.0,0.0,-0.05042752148649221,-0.12504233506054124
right,1777280414.9338121,294,1777280414.9438424,295,contact_refined,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1,0,1,0,1,0,0.11454818791578297,0.11411465473068566,0.23386046658046708,0.37875404334266094,0.2255312074195991,-0.30428654230555785,1.8970736513679385,-0.10190983262098602,-1.8943344015061452,-0.3274410400405851,-1.5900478592005873,1333,0.17072900000000002,-0.588895,-0.08865,-0.020015400000000003,0.08005714416503906,0.4,0.0,0.0,0.10739620198126193,0.09848166908490297
